rec_id_hour,datetime,season_hour,year_hour,month_hour,hour,holiday_hour,weekday_hour,workingday_hour,weathersit_hour,temp_hour,atemp_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,cnt_hour,day_of_week,rec_id_day,season_day,year_day,month_day,holiday_day,weekday_day,workingday_day,weathersit_day,temp_day,atemp_day,hum_day,windspeed_day,casual_day,registered_day,cnt_day
17,2011-01-01,Winter,2011,Jan,16,0,Saturday,No,Misty,17.22,21.21,82.0,19.999499999999998,41,52,93,Saturday,1,Winter,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985
18,2011-01-01,Winter,2011,Jan,17,0,Saturday,No,Misty,18.04,21.97,82.0,19.0012,15,52,67,Saturday,1,Winter,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985
19,2011-01-01,Winter,2011,Jan,18,0,Saturday,No,Light_RainSnow,17.22,21.21,88.0,16.997899999999998,9,26,35,Saturday,1,Winter,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985
20,2011-01-01,Winter,2011,Jan,19,0,Saturday,No,Light_RainSnow,17.22,21.21,88.0,16.997899999999998,6,31,37,Saturday,1,Winter,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985
21,2011-01-01,Winter,2011,Jan,20,0,Saturday,No,Misty,16.400000000000002,20.455000000000002,87.0,16.997899999999998,11,25,36,Saturday,1,Winter,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985
22,2011-01-01,Winter,2011,Jan,21,0,Saturday,No,Misty,16.400000000000002,20.455000000000002,87.0,12.998000000000001,3,31,34,Saturday,1,Winter,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985
23,2011-01-01,Winter,2011,Jan,22,0,Saturday,No,Misty,16.400000000000002,20.455000000000002,94.0,15.001299999999999,11,17,28,Saturday,1,Winter,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985
24,2011-01-01,Winter,2011,Jan,23,0,Saturday,No,Misty,18.86,22.725,88.0,19.999499999999998,15,24,39,Saturday,1,Winter,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985
25,2011-01-02,Winter,2011,Jan,0,0,Sunday,No,Misty,18.86,22.725,88.0,19.999499999999998,4,13,17,Sunday,2,Winter,2011,Jan,0,Sunday,No,Misty,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801
26,2011-01-02,Winter,2011,Jan,1,0,Sunday,No,Misty,18.04,21.97,94.0,16.997899999999998,1,16,17,Sunday,2,Winter,2011,Jan,0,Sunday,No,Misty,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801
27,2011-01-02,Winter,2011,Jan,2,0,Sunday,No,Misty,17.22,21.21,100.0,19.0012,1,8,9,Sunday,2,Winter,2011,Jan,0,Sunday,No,Misty,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801
28,2011-01-02,Winter,2011,Jan,3,0,Sunday,No,Misty,18.86,22.725,94.0,12.998000000000001,2,4,6,Sunday,2,Winter,2011,Jan,0,Sunday,No,Misty,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801
29,2011-01-02,Winter,2011,Jan,4,0,Sunday,No,Misty,18.86,22.725,94.0,12.998000000000001,2,1,3,Sunday,2,Winter,2011,Jan,0,Sunday,No,Misty,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801
30,2011-01-02,Winter,2011,Jan,6,0,Sunday,No,Light_RainSnow,17.22,21.21,77.0,19.999499999999998,0,2,2,Sunday,2,Winter,2011,Jan,0,Sunday,No,Misty,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801
31,2011-01-02,Winter,2011,Jan,7,0,Sunday,No,Misty,16.400000000000002,20.455000000000002,76.0,12.998000000000001,0,1,1,Sunday,2,Winter,2011,Jan,0,Sunday,No,Misty,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801
32,2011-01-02,Winter,2011,Jan,8,0,Sunday,No,Light_RainSnow,16.400000000000002,20.455000000000002,71.0,15.001299999999999,0,8,8,Sunday,2,Winter,2011,Jan,0,Sunday,No,Misty,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801
33,2011-01-02,Winter,2011,Jan,9,0,Sunday,No,Misty,15.58,19.695,76.0,15.001299999999999,1,19,20,Sunday,2,Winter,2011,Jan,0,Sunday,No,Misty,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801
34,2011-01-02,Winter,2011,Jan,10,0,Sunday,No,Misty,14.76,17.424999999999997,81.0,15.001299999999999,7,46,53,Sunday,2,Winter,2011,Jan,0,Sunday,No,Misty,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801
35,2011-01-02,Winter,2011,Jan,11,0,Sunday,No,Misty,14.76,16.665,71.0,16.997899999999998,16,54,70,Sunday,2,Winter,2011,Jan,0,Sunday,No,Misty,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801
36,2011-01-02,Winter,2011,Jan,12,0,Sunday,No,Misty,14.76,16.665,66.0,19.999499999999998,20,73,93,Sunday,2,Winter,2011,Jan,0,Sunday,No,Misty,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801
37,2011-01-02,Winter,2011,Jan,13,0,Sunday,No,Misty,14.76,17.424999999999997,66.0,8.9981,11,64,75,Sunday,2,Winter,2011,Jan,0,Sunday,No,Misty,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801
38,2011-01-02,Winter,2011,Jan,14,0,Sunday,No,Light_RainSnow,14.76,17.424999999999997,76.0,12.998000000000001,4,55,59,Sunday,2,Winter,2011,Jan,0,Sunday,No,Misty,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801
39,2011-01-02,Winter,2011,Jan,15,0,Sunday,No,Light_RainSnow,13.940000000000001,16.665,81.0,11.0014,19,55,74,Sunday,2,Winter,2011,Jan,0,Sunday,No,Misty,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801
40,2011-01-02,Winter,2011,Jan,16,0,Sunday,No,Light_RainSnow,13.940000000000001,16.665,71.0,11.0014,9,67,76,Sunday,2,Winter,2011,Jan,0,Sunday,No,Misty,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801
41,2011-01-02,Winter,2011,Jan,17,0,Sunday,No,Clear,13.940000000000001,16.665,56.99999999999999,12.998000000000001,7,58,65,Sunday,2,Winter,2011,Jan,0,Sunday,No,Misty,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801
42,2011-01-02,Winter,2011,Jan,18,0,Sunday,No,Misty,14.76,16.665,46.0,22.0028,10,43,53,Sunday,2,Winter,2011,Jan,0,Sunday,No,Misty,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801
43,2011-01-02,Winter,2011,Jan,19,0,Sunday,No,Clear,13.120000000000001,14.395,42.0,30.002599999999997,1,29,30,Sunday,2,Winter,2011,Jan,0,Sunday,No,Misty,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801
44,2011-01-02,Winter,2011,Jan,20,0,Sunday,No,Clear,12.299999999999999,13.635,39.0,23.9994,5,17,22,Sunday,2,Winter,2011,Jan,0,Sunday,No,Misty,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801
45,2011-01-02,Winter,2011,Jan,21,0,Sunday,No,Clear,10.66,11.365,44.0,22.0028,11,20,31,Sunday,2,Winter,2011,Jan,0,Sunday,No,Misty,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801
46,2011-01-02,Winter,2011,Jan,22,0,Sunday,No,Clear,9.84,10.605,44.0,19.999499999999998,0,9,9,Sunday,2,Winter,2011,Jan,0,Sunday,No,Misty,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801
47,2011-01-02,Winter,2011,Jan,23,0,Sunday,No,Clear,9.02,11.365,47.0,11.0014,0,8,8,Sunday,2,Winter,2011,Jan,0,Sunday,No,Misty,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801
48,2011-01-03,Winter,2011,Jan,0,0,Monday,Yes,Clear,9.02,9.85,44.0,23.9994,0,5,5,Monday,3,Winter,2011,Jan,0,Monday,Yes,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349
49,2011-01-03,Winter,2011,Jan,1,0,Monday,Yes,Clear,8.200000000000001,8.334999999999999,44.0,27.999299999999998,0,2,2,Monday,3,Winter,2011,Jan,0,Monday,Yes,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349
50,2011-01-03,Winter,2011,Jan,4,0,Monday,Yes,Clear,6.5600000000000005,6.819999999999999,47.0,26.0027,0,1,1,Monday,3,Winter,2011,Jan,0,Monday,Yes,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349
51,2011-01-03,Winter,2011,Jan,5,0,Monday,Yes,Clear,6.5600000000000005,6.819999999999999,47.0,19.0012,0,3,3,Monday,3,Winter,2011,Jan,0,Monday,Yes,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349
52,2011-01-03,Winter,2011,Jan,6,0,Monday,Yes,Clear,5.74,5.305,50.0,26.0027,0,30,30,Monday,3,Winter,2011,Jan,0,Monday,Yes,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349
53,2011-01-03,Winter,2011,Jan,7,0,Monday,Yes,Clear,5.74,6.819999999999999,50.0,12.998000000000001,1,63,64,Monday,3,Winter,2011,Jan,0,Monday,Yes,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349
54,2011-01-03,Winter,2011,Jan,8,0,Monday,Yes,Clear,5.74,6.0600000000000005,50.0,19.0012,1,153,154,Monday,3,Winter,2011,Jan,0,Monday,Yes,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349
55,2011-01-03,Winter,2011,Jan,9,0,Monday,Yes,Clear,6.5600000000000005,6.819999999999999,43.0,26.0027,7,81,88,Monday,3,Winter,2011,Jan,0,Monday,Yes,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349
56,2011-01-03,Winter,2011,Jan,10,0,Monday,Yes,Clear,7.38,8.334999999999999,43.0,16.997899999999998,11,33,44,Monday,3,Winter,2011,Jan,0,Monday,Yes,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349
57,2011-01-03,Winter,2011,Jan,11,0,Monday,Yes,Clear,8.200000000000001,9.09,40.0,22.0028,10,41,51,Monday,3,Winter,2011,Jan,0,Monday,Yes,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349
58,2011-01-03,Winter,2011,Jan,12,0,Monday,Yes,Clear,9.02,10.605,35.0,19.999499999999998,13,48,61,Monday,3,Winter,2011,Jan,0,Monday,Yes,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349
59,2011-01-03,Winter,2011,Jan,13,0,Monday,Yes,Clear,9.84,10.605,35.0,19.0012,8,53,61,Monday,3,Winter,2011,Jan,0,Monday,Yes,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349
60,2011-01-03,Winter,2011,Jan,14,0,Monday,Yes,Clear,10.66,12.120000000000001,30.0,19.0012,11,66,77,Monday,3,Winter,2011,Jan,0,Monday,Yes,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349
61,2011-01-03,Winter,2011,Jan,15,0,Monday,Yes,Clear,10.66,12.120000000000001,30.0,16.997899999999998,14,58,72,Monday,3,Winter,2011,Jan,0,Monday,Yes,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349
62,2011-01-03,Winter,2011,Jan,16,0,Monday,Yes,Clear,10.66,12.120000000000001,30.0,16.997899999999998,9,67,76,Monday,3,Winter,2011,Jan,0,Monday,Yes,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349
63,2011-01-03,Winter,2011,Jan,17,0,Monday,Yes,Clear,9.84,11.365,30.0,15.001299999999999,11,146,157,Monday,3,Winter,2011,Jan,0,Monday,Yes,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349
64,2011-01-03,Winter,2011,Jan,18,0,Monday,Yes,Clear,9.84,12.879999999999999,32.0,7.0015,9,148,157,Monday,3,Winter,2011,Jan,0,Monday,Yes,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349
65,2011-01-03,Winter,2011,Jan,19,0,Monday,Yes,Clear,8.200000000000001,12.879999999999999,47.0,0.0,8,102,110,Monday,3,Winter,2011,Jan,0,Monday,Yes,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349
66,2011-01-03,Winter,2011,Jan,20,0,Monday,Yes,Clear,8.200000000000001,11.365,47.0,7.0015,3,49,52,Monday,3,Winter,2011,Jan,0,Monday,Yes,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349
67,2011-01-03,Winter,2011,Jan,21,0,Monday,Yes,Clear,7.38,9.85,64.0,8.9981,3,49,52,Monday,3,Winter,2011,Jan,0,Monday,Yes,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349
68,2011-01-03,Winter,2011,Jan,22,0,Monday,Yes,Clear,5.74,7.575,69.0,8.9981,0,20,20,Monday,3,Winter,2011,Jan,0,Monday,Yes,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349
69,2011-01-03,Winter,2011,Jan,23,0,Monday,Yes,Clear,7.38,10.605,55.00000000000001,7.0015,1,11,12,Monday,3,Winter,2011,Jan,0,Monday,Yes,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349
70,2011-01-04,Winter,2011,Jan,0,0,Tuesday,Yes,Clear,6.5600000000000005,9.09,55.00000000000001,7.0015,0,5,5,Tuesday,4,Winter,2011,Jan,0,Tuesday,Yes,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562
71,2011-01-04,Winter,2011,Jan,1,0,Tuesday,Yes,Clear,6.5600000000000005,9.09,59.0,7.0015,0,2,2,Tuesday,4,Winter,2011,Jan,0,Tuesday,Yes,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562
72,2011-01-04,Winter,2011,Jan,2,0,Tuesday,Yes,Clear,5.74,7.575,63.0,8.9981,0,1,1,Tuesday,4,Winter,2011,Jan,0,Tuesday,Yes,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562
73,2011-01-04,Winter,2011,Jan,4,0,Tuesday,Yes,Clear,5.74,9.09,63.0,6.0032,0,2,2,Tuesday,4,Winter,2011,Jan,0,Tuesday,Yes,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562
74,2011-01-04,Winter,2011,Jan,5,0,Tuesday,Yes,Clear,4.92,7.575,68.0,7.0015,0,4,4,Tuesday,4,Winter,2011,Jan,0,Tuesday,Yes,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562
75,2011-01-04,Winter,2011,Jan,6,0,Tuesday,Yes,Clear,4.92,7.575,74.0,7.0015,0,36,36,Tuesday,4,Winter,2011,Jan,0,Tuesday,Yes,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562
76,2011-01-04,Winter,2011,Jan,7,0,Tuesday,Yes,Clear,4.92,7.575,74.0,8.9981,2,92,94,Tuesday,4,Winter,2011,Jan,0,Tuesday,Yes,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562
77,2011-01-04,Winter,2011,Jan,8,0,Tuesday,Yes,Clear,5.74,7.575,69.0,11.0014,2,177,179,Tuesday,4,Winter,2011,Jan,0,Tuesday,Yes,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562
78,2011-01-04,Winter,2011,Jan,9,0,Tuesday,Yes,Clear,6.5600000000000005,7.575,64.0,15.001299999999999,2,98,100,Tuesday,4,Winter,2011,Jan,0,Tuesday,Yes,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562
79,2011-01-04,Winter,2011,Jan,10,0,Tuesday,Yes,Misty,6.5600000000000005,6.819999999999999,69.0,22.0028,5,37,42,Tuesday,4,Winter,2011,Jan,0,Tuesday,Yes,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562
80,2011-01-04,Winter,2011,Jan,11,0,Tuesday,Yes,Clear,9.02,10.605,51.0,19.999499999999998,7,50,57,Tuesday,4,Winter,2011,Jan,0,Tuesday,Yes,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562
81,2011-01-04,Winter,2011,Jan,12,0,Tuesday,Yes,Clear,9.02,11.365,51.0,11.0014,12,66,78,Tuesday,4,Winter,2011,Jan,0,Tuesday,Yes,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562
82,2011-01-04,Winter,2011,Jan,13,0,Tuesday,Yes,Clear,9.84,11.365,56.00000000000001,12.998000000000001,18,79,97,Tuesday,4,Winter,2011,Jan,0,Tuesday,Yes,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562
83,2011-01-04,Winter,2011,Jan,14,0,Tuesday,Yes,Clear,10.66,12.879999999999999,52.0,15.001299999999999,9,54,63,Tuesday,4,Winter,2011,Jan,0,Tuesday,Yes,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562
84,2011-01-04,Winter,2011,Jan,15,0,Tuesday,Yes,Clear,11.48,13.635,52.0,16.997899999999998,17,48,65,Tuesday,4,Winter,2011,Jan,0,Tuesday,Yes,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562
85,2011-01-04,Winter,2011,Jan,16,0,Tuesday,Yes,Clear,12.299999999999999,14.395,49.0,16.997899999999998,15,68,83,Tuesday,4,Winter,2011,Jan,0,Tuesday,Yes,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562
86,2011-01-04,Winter,2011,Jan,17,0,Tuesday,Yes,Clear,11.48,13.635,48.0,15.001299999999999,10,202,212,Tuesday,4,Winter,2011,Jan,0,Tuesday,Yes,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562
87,2011-01-04,Winter,2011,Jan,18,0,Tuesday,Yes,Clear,10.66,12.879999999999999,48.0,12.998000000000001,3,179,182,Tuesday,4,Winter,2011,Jan,0,Tuesday,Yes,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562
88,2011-01-04,Winter,2011,Jan,19,0,Tuesday,Yes,Clear,9.84,12.879999999999999,48.0,7.0015,2,110,112,Tuesday,4,Winter,2011,Jan,0,Tuesday,Yes,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562
89,2011-01-04,Winter,2011,Jan,20,0,Tuesday,Yes,Clear,9.84,12.879999999999999,48.0,7.0015,1,53,54,Tuesday,4,Winter,2011,Jan,0,Tuesday,Yes,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562
90,2011-01-04,Winter,2011,Jan,21,0,Tuesday,Yes,Clear,9.02,13.635,64.0,0.0,0,48,48,Tuesday,4,Winter,2011,Jan,0,Tuesday,Yes,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562
91,2011-01-04,Winter,2011,Jan,22,0,Tuesday,Yes,Clear,9.02,12.879999999999999,64.0,6.0032,1,34,35,Tuesday,4,Winter,2011,Jan,0,Tuesday,Yes,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562
92,2011-01-04,Winter,2011,Jan,23,0,Tuesday,Yes,Clear,8.200000000000001,11.365,69.0,6.0032,2,9,11,Tuesday,4,Winter,2011,Jan,0,Tuesday,Yes,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562
93,2011-01-05,Winter,2011,Jan,0,0,Wednesday,Yes,Clear,8.200000000000001,12.879999999999999,64.0,0.0,0,6,6,Wednesday,5,Winter,2011,Jan,0,Wednesday,Yes,Clear,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600
94,2011-01-05,Winter,2011,Jan,1,0,Wednesday,Yes,Clear,6.5600000000000005,9.85,74.0,6.0032,0,6,6,Wednesday,5,Winter,2011,Jan,0,Wednesday,Yes,Clear,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600
95,2011-01-05,Winter,2011,Jan,2,0,Wednesday,Yes,Clear,6.5600000000000005,9.85,74.0,6.0032,0,2,2,Wednesday,5,Winter,2011,Jan,0,Wednesday,Yes,Clear,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600
96,2011-01-05,Winter,2011,Jan,4,0,Wednesday,Yes,Clear,9.84,11.365,48.0,15.001299999999999,0,2,2,Wednesday,5,Winter,2011,Jan,0,Wednesday,Yes,Clear,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600
97,2011-01-05,Winter,2011,Jan,5,0,Wednesday,Yes,Clear,9.02,11.365,47.0,11.0014,0,3,3,Wednesday,5,Winter,2011,Jan,0,Wednesday,Yes,Clear,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600
98,2011-01-05,Winter,2011,Jan,6,0,Wednesday,Yes,Clear,8.200000000000001,9.85,47.0,15.001299999999999,0,33,33,Wednesday,5,Winter,2011,Jan,0,Wednesday,Yes,Clear,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600
99,2011-01-05,Winter,2011,Jan,7,0,Wednesday,Yes,Clear,7.38,9.09,43.0,12.998000000000001,1,87,88,Wednesday,5,Winter,2011,Jan,0,Wednesday,Yes,Clear,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600
100,2011-01-05,Winter,2011,Jan,8,0,Wednesday,Yes,Clear,8.200000000000001,9.09,40.0,19.999499999999998,3,192,195,Wednesday,5,Winter,2011,Jan,0,Wednesday,Yes,Clear,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600
101,2011-01-05,Winter,2011,Jan,9,0,Wednesday,Yes,Clear,9.02,9.85,37.0,22.0028,6,109,115,Wednesday,5,Winter,2011,Jan,0,Wednesday,Yes,Clear,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600
102,2011-01-05,Winter,2011,Jan,10,0,Wednesday,Yes,Clear,9.02,9.85,37.0,22.0028,4,53,57,Wednesday,5,Winter,2011,Jan,0,Wednesday,Yes,Clear,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600
103,2011-01-05,Winter,2011,Jan,11,0,Wednesday,Yes,Clear,10.66,11.365,33.0,22.0028,12,34,46,Wednesday,5,Winter,2011,Jan,0,Wednesday,Yes,Clear,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600
104,2011-01-05,Winter,2011,Jan,12,0,Wednesday,Yes,Clear,10.66,11.365,33.0,22.0028,5,74,79,Wednesday,5,Winter,2011,Jan,0,Wednesday,Yes,Clear,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600
105,2011-01-05,Winter,2011,Jan,13,0,Wednesday,Yes,Clear,11.48,12.879999999999999,30.0,19.999499999999998,6,65,71,Wednesday,5,Winter,2011,Jan,0,Wednesday,Yes,Clear,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600
106,2011-01-05,Winter,2011,Jan,14,0,Wednesday,Yes,Clear,12.299999999999999,14.395,28.000000000000004,12.998000000000001,10,52,62,Wednesday,5,Winter,2011,Jan,0,Wednesday,Yes,Clear,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600
107,2011-01-05,Winter,2011,Jan,15,0,Wednesday,Yes,Clear,12.299999999999999,14.395,28.000000000000004,12.998000000000001,7,55,62,Wednesday,5,Winter,2011,Jan,0,Wednesday,Yes,Clear,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600
